Code No.,Code,Description,TH Description,Group,Phase,WBTO,RTO,CTO,FHO,GIP
77,AR,ARTICLE,ชนิด/รหัสสินค้าหนัง,MANUFACTURING,FINISHED,,,,Y,Y
34,BS,BLACK SPOT,จุดดำ,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
76,BD,BRAND,รอยประตีนตรา / ตราแผลเป็น,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
35,BR,BRONZY,ผิวของหนังเป็นคราบเงา / คราบทองบรอนซ์,MANUFACTURING,FINISHED,,Y,Y,Y,Y
105,CM,CHATTER MARK,รอยขูดขีดเป็นลอนจากเครื่องจักร,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
88,CW,CHICKEN WIRE,รอยลายตาข่าย / ลวดไก่,MANUFACTURING,FINISHED,,,,Y,Y
131,CT,CHROME STAINED,รอยคราบเกลือโครม,MANUFACTURING,FINISHED,Y,Y,,Y,Y
11,CD,CLOSE DEFECTS,ตำหนิใกล้กัน / ตำหนิหนาแน่น,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
4,CL,COLOR,สี,MANUFACTURING,FINISHED,,Y,Y,Y,Y
85,CR,CRACK,รอยแตก,MANUFACTURING,FINISHED,,,,Y,Y
93,DE,DENT,รอยบุบ / รอยล๋ม,MANUFACTURING,FINISHED,,,,Y,Y
7,DT,DIRTINESS,ความสกปรก / คราบสกปรก,MANUFACTURING,FINISHED,,,,Y,Y
42,DR,DRAWN GRAIN,ท้องหนังย่น / ลายผิวหนังย่นดึง,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
43,FT,FLATNESS,ความเรียบ / ความแบน flatness,MANUFACTURING,FINISHED,,,,Y,Y
44,FG,FOIL DAMAGE,ฟอยล์เสียหาย / รอยฟอยล์หลุดลอก,MANUFACTURING,FINISHED,,,Y,Y,Y
46,FM,FOLDING MARK,รอยพับ / รอยรอยย่นจากการพับ,MANUFACTURING,FINISHED,,,,Y,Y
25,GM,GROWTH MARK,รอยตีนแตกรอยโต (รอยลายเส้นจากการเติบโตของสัตว์),NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
24,HR,HAIR ROOT,รากขน / รูขุมขนค้าง,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
48,HD,HARDNESS,ความแข็ง / ความกระด้าง,MANUFACTURING,FINISHED,,,Y,Y,Y
53,LF,LONG FIBRES,เส้นใยยาว / เส้นใยหนังยาวเกินไป,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
1,LS,LOOSENESS,หนังหลวม / ท้องหนังหลวม (Loose grain),MANUFACTURING,FINISHED,,,Y,Y,Y
2,MD,MACHINE DAMAGE,รอยเสียหายจากเครื่องจักร,MANUFACTURING,FINISHED,,,,Y,Y
57,MO,MOULD,เชื้อรา / คราบรา,NATURAL DEFECTS & MATERIAL,WET BLUE,Y,Y,Y,Y,Y
58,OW,OILY / WAXY,ผิวน้ำมัน / ผิวไข wax,MANUFACTURING,CRUST/FINISHED,,,Y,Y,Y
10,OD,OPEN DEFECTS,ตำหนิแผลเปิด,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
12,OG,OPEN GRAIN,รูขุมขนเปิด / ผิวหนังหลวมเปิด,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
60,OB,OVER BUFFING,ขัดผิวมากเกินไป (Over-buffed),MANUFACTURING,FINISHED,,,,Y,Y
61,OP,OVERPRODUCED,ผลิตเกินจำนวนสั่งซื้อ,MANUFACTURING,FINISHED,,,,Y,Y
80,PA,PATCHY,สีด่างเป็นดวงๆ,MANUFACTURING,FINISHED,,,,Y,Y
72,PB,PEBBLE,ลายเม็ด / ลายอัดเม็ดพีบเบิล,MANUFACTURING,FINISHED,,,,Y,Y
86,PF,PEEL OFF,ผิวหลุดลอก,MANUFACTURING,FINISHED,,,,Y,Y
62,PL,PINHOLE,รูเข็ม / รูขนาดเล็กมาก,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
27,SA,SAMPLE USAGE,การใช้นำไปทำตัวอย่าง,MANUFACTURING,FINISHED,,,,Y,Y
22,SR,SCRATCHES,รอยขีดข่วน,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
14,SE,SELECTION,การคัดเกรดหนัง,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
20,TP,SMALL PIECES,หนังชิ้นเล็ก / เศษหนัง,MANUFACTURING,FINISHED,,,,Y,Y
68,SP,SPRAY SPOT,รอยละอองสีพ่น / จุดพ่นสี,MANUFACTURING,FINISHED,,,,Y,Y
9,ST,STAINED,เป็นรอยคราบ / คราบด่าง,MANUFACTURING,FINISHED,,,,Y,Y
3,SU,SUBSTANCE,ความหนาของหนัง (Thickness/Substance),MANUFACTURING,CRUST/FINISHED,,Y,Y,Y,Y
21,TK,TICKS,รอยเห็บ/เห็บกัด,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
28,TR,TRIAL USAGE,การใช้งานเพื่อทดลอง,MANUFACTURING,CRUST/FINISHED,,,Y,Y,Y
13,VN,VEINS,รอยเส้นเลือด,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
23,WS,WHITE SPOT,จุดขาว,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
15,WR,WRONG BREAK,การพับตัวของผิวหนังผิดปกติ (Grain break ผิดปกติ),MANUFACTURING,FINISHED,,,Y,Y,Y
37,,COLOR PATCHY,สีด่างไม่สม่ำเสมอเป็นดวง,MANUFACTURING,FINISHED,,Y,Y,Y,Y
119,BP,BIG PEBBLE,ลายเม็ดใหญ่,MANUFACTURING,FINISHED,,,,Y,Y
31,,BACTERIA SPOT,จุดรอยแบคทีเรียทำลาย,NATURAL DEFECTS & MATERIAL,WET BLUE,Y,Y,Y,Y,Y
32,,BIG GRAIN,ลายเม็ดหนังใหญ่,MANUFACTURING,FINISHED,,,,Y,Y
33,,BIG MILLLING,ปั่นลายเม็ดใหญ่ (Milling),MANUFACTURING,FINISHED,,,Y,Y,Y
109,,BIG PIECES,หนังชิ้นใหญ่,MANUFACTURING,FINISHED,,,,Y,Y
112,,BLUE SPOT,จุดสีน้ำเงิน (คราบโครม wet blue),MANUFACTURING,WET BLUE,Y,Y,,,Y
115,,BRUSH MARK,รอยแปรง,MANUFACTURING,FINISHED,,,,Y,Y
19,,BUFFING,การขัดผิวหนัง (Buffing),MANUFACTURING,FINISHED,,,,Y,Y
36,,CHEMICAL SPILLAGE STAIN,คราบเคมีหกใส่,MANUFACTURING,FINISHED,,,,Y,Y
106,,COLOR DARK,สีเข้มเกินไป,MANUFACTURING,CRUST/FINISHED,,Y,Y,Y,Y
108,,COLOR OFF,สีเพี้ยน / สีไม่ได้มาตรฐาน,MANUFACTURING,CRUST/FINISHED,,Y,Y,Y,Y
38,,COLOR UNUNIFORMITY,สีไม่สม่ำเสมอกัน,MANUFACTURING,CRUST/FINISHED,,Y,Y,Y,Y
8,,COLOR VARIATION,สีมีความต่างระดับ/ต่างเฉด,MANUFACTURING,CRUST/FINISHED,,Y,Y,Y,Y
39,,COMPENSATE TO CUSTOMER,การชดเชยให้ลูกค้า,MANUFACTURING,FINISHED,,,,Y,Y
74,,CRACK,รอยแตก,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
96,,CRUST,หนังฟอกแห้ง (Crust leather),MANUFACTURING,CRUST/FINISHED,,,Y,Y,Y
130,,CRUST LOOSENESS,หนัง Crust มีอาการหลวม (Loose grain),MANUFACTURING,FINISHED,,,Y,Y,Y
135,,CRUST OPEN GRAIN,หนัง Crust รูขุมขนเปิด / ลายหลวม,MANUFACTURING,FINISHED,,,,Y,Y
79,,CUT COLOR SWATCHES,ตัดตัวอย่างชิ้นเทียบสี,MANUFACTURING,FINISHED,,Y,Y,Y,Y
78,,CUT LAB TEST,ตัดชิ้นส่วนส่งทดสอบแล็บ,MANUFACTURING,FINISHED,,,,Y,Y
40,,DIRTY FLESH,ท้องหนัง (ด้านเนื้อ) สกปรก,MANUFACTURING,CRUST/FINISHED,Y,Y,Y,Y,Y
41,,DIRTY GRAIN,ผิวหน้าหนัง (ด้าน Grain) สกปรก,MANUFACTURING,CRUST/FINISHED,,,Y,Y,Y
91,,DIRTY LINE,รอยเส้นสกปรก,MANUFACTURING,CRUST/FINISHED,,,Y,Y,Y
90,,DIS COLORATION,การเปลี่ยนสี / สีตก / สีเพี้ยน,MANUFACTURING,FINISHED,,Y,Y,Y,Y
98,,DRY,แห้ง / หนังแห้งกระด้าง,MANUFACTURING,CRUST/FINISHED,,,Y,Y,Y
144,,EFFECT,เอฟเฟกต์ผิวหนัง (เช่น เอฟเฟกต์ทูโทน/พูลอัพ),NATURAL DEFECTS & MATERIAL,FINISHED,,,Y,Y,Y
89,,EMBOSSING,การอัดลาย / พิมพ์ลาย,MANUFACTURING,FINISHED,,,,Y,Y
73,,FIBER,เส้นใยหนัง (Fiber),MANUFACTURING,WET BLUE,Y,Y,,,Y
114,,FLESH,ท้องหนัง / ด้านเนื้อ (Flesh side),NATURAL DEFECTS & MATERIAL,WET BLUE,Y,Y,Y,Y,Y
113,,FLESH COLOR,สีด้านท้องหนัง,COLOR,CRUST/FINISHED,Y,Y,Y,Y,Y
45,,FOLDING,การพับ / รอยพับ,MANUFACTURING,FINISHED,,,,Y,Y
121,,FOR TRIAL NOT OK,ใช้ทดลองแล้วไม่ผ่าน (Not OK),MANUFACTURING,FINISHED,,,,Y,Y
150,,GRADE OUT,คัดเกรดตก / คัดทิ้ง,MANUFACTURING,FINISHED,,,,Y,Y
47,,GRAIN OFF,ผิวหน้าหนังหลุดลอก / ผิวเปิด,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
97,,GREEN SPOT,จุดเขียว (คราบเกลือ/ทองแดง),MANUFACTURING,FINISHED,,,,Y,Y
142,,HIGH OIL CONTENT,ปริมาณน้ำมันสูงเกินไป,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
49,,HIGH SUBSTANCE,ความหนาเกินมาตรฐาน,MANUFACTURING,CRUST/FINISHED,,Y,Y,Y,Y
50,,HOLE,รูทะลุ,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
116,,IHL WETBLUE LINES(??),รอยเส้นบนหนัง Wet Blue (IHL),NATURAL DEFECTS & MATERIAL,WET BLUE,Y,Y,Y,Y,Y
92,,INSPECTION VARIANCE,ความคลาดเคลื่อนจากการตรวจสอบ,MANUFACTURING,FINISHED,,,,Y,Y
145,,INSUFFICIENT COVERAGE,การพ่นสี/พ่นเคลือบไม่กลบผิว,NATURAL DEFECTS & MATERIAL,FINISHED,,,Y,Y,Y
51,,KNIFE CUT,รอยมีดบาด / รอยมีดเฉือน,MANUFACTURING,WET BLUE,Y,Y,,,Y
26,,LAB TEST FAILED,ผลทดสอบแล็บไม่ผ่าน,MANUFACTURING,FINISHED,,,,Y,Y
52,,LIMEBLAST,คราบปูนขาว (Lime blast จากกระบวนการฟอก),MANUFACTURING,WET BLUE,Y,Y,,,Y
102,,LINE,รอยเส้น,MANUFACTURING,FINISHED,,,,Y,Y
54,,LOOSE MILLING,ปั่นลายแล้วผิวหลวม (Loose milling),MANUFACTURING,FINISHED,,,Y,Y,Y
55,,LOW GRADE,เกรดต่ำ / เกรดตก,MANUFACTURING,FINISHED,,,,Y,Y
56,,LOW SUBSTANCE,ความหนาต่ำกว่ามาตรฐาน (บางเกิน),MANUFACTURING,FINISHED,,Y,Y,Y,Y
122,,MASTER SKIN,ผืนต้นแบบ / แผ่นมาสเตอร์,MANUFACTURING,FINISHED,,,,Y,Y
117,,MATERIAL DEFECT,ตำหนิของวัตถุดิบ,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
134,,MATERIAL FOLDING MARK,รอยพับบนตัววัตถุดิบ,MANUFACTURING,FINISHED,,,,Y,Y
120,,MATERIAL MACHINE DAMAGE,ความเสียหายวัตถุดิบจากเครื่องจักร,MANUFACTURING,FINISHED,,,,Y,Y
17,,MATERIAL TOO HARD/TOO SOFT,วัตถุดิบแข็งไปหรือนุ่มไป,MANUFACTURING,FINISHED,,,Y,Y,Y
6,,MILLED GRAIN,ลายหนังจากการปั่นเม็ด (Milled grain),MANUFACTURING,FINISHED,,,Y,Y,Y
82,,NATURAL DEFECT,ตำหนิตามธรรมชาติของสัตว์,MANUFACTURING,FINISHED,,,,Y,Y
136,,OIL PATCHES,รอยด่างน้ำมันเป็นดวงๆ,MANUFACTURING,FINISHED,,,Y,Y,Y
59,,OPEN SPOT,จุดแผลเปิด / รูเปิด,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
81,,ORDER CANCEL,ยกเลิกคำสั่งซื้อ,MANUFACTURING,FINISHED,,,,Y,Y
75,,PD,ฝ่ายพัฒนาผลิตภัณฑ์ (Product Development),MANUFACTURING,FINISHED,,,,Y,Y
16,,PO TRANSFER,การโอนย้ายใบสั่งซื้อ (PO Transfer),TRANSFER,FINISHED,,,,Y,Y
124,,POOR DYEING,การย้อมสีไม่ได้คุณภาพ / ย้อมไม่สม่ำเสมอ,MANUFACTURING,FINISHED,,Y,Y,Y,Y
5,,PRODUCT IDENTITY,เอกลักษณ์/รหัสระบุผลิตภัณฑ์,MANUFACTURING,FINISHED,,,,Y,Y
149,,RAW MATERIAL ISSUE,ปัญหาจากวัตถุดิบดิบ,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
101,,RED SPOT,จุดแดง (คราบเชื้อรา/ราสีแดง),MANUFACTURING,WET BLUE,Y,Y,,,Y
94,,RING WORM ????,รอยขี้กลาก / โรคเรื้อนกวางบนผิวสัตว์,MANUFACTURING,FINISHED,,,,Y,Y
118,,ROLLER DAMAGE,ความเสียหายจากลูกกลิ้งกดหนัง,MANUFACTURING,FINISHED,,,,Y,Y
148,,ROUGH GRAIN,ผิวหน้าหนังหยาบ / ไม่เรียบเนียน,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
95,,SCRATCH,รอยขีดข่วน,MANUFACTURING,FINISHED,,,,Y,Y
64,,SHAPE,รูปทรงผืนหนัง,MANUFACTURING,FINISHED,,,,Y,Y
65,,SHINE,ความเงา,MANUFACTURING,FINISHED,,,,Y,Y
66,,SOFTNESS,ความนุ่ม,MANUFACTURING,FINISHED,,,Y,Y,Y
111,,SPLITTING LINE,รอยเส้นจากการผ่าหนาหนัง (Splitting),MANUFACTURING,FINISHED,,Y,Y,Y,Y
67,,SPRAY PATCH,รอยพ่นสีเป็นคราบด่าง,MANUFACTURING,FINISHED,,,,Y,Y
123,,STAKING LINE,รอยเส้นจากการนวดหนัง (Staking),MANUFACTURING,FINISHED,,,,Y,Y
69,,SUGARY,คราบน้ำตาล / ผิวเป็นคราบเกล็ดน้ำตาล,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
146,,SWEAT MARK,รอยคราบเหงื่อสัตว์,NATURAL DEFECTS & MATERIAL,FINISHED,Y,Y,Y,Y,Y
103,,SYSTEM ADJUST,การปรับแต่งระบบ / ปรับยอด,OTHER,FINISHED,,Y,Y,Y,Y
83,,TEAR,รอยฉีกขาด,MANUFACTURING,FINISHED,,,,Y,Y
107,,TIPPING COLOR DAMAGE,สีส่วนปลายยอดลาย (Tipping) เสียหาย,MANUFACTURING,FINISHED,,,Y,Y,Y
110,,TOO STRONG BRUSHING,ปัด/ขัดแปรงแรงเกินไป,NATURAL DEFECTS & MATERIAL,FINISHED,,,Y,Y,Y
70,,TWISTING MARK,รอยบิด / รอยเกลียวจากการหมุนปั่น,MANUFACTURING,FINISHED,,,,Y,Y
100,,TYPE,ประเภท / ชนิดหนัง,MANUFACTURING,FINISHED,,,,Y,Y
84,,TYPHOON DAMAGE,ความเสียหายจากพายุไต้ฝุ่น / ภัยธรรมชาติ,MANUFACTURING,FINISHED,,,,Y,Y
151,,UNCOVER,การกลบผิวไม่มิด / สีไม่ปกปิดผิว,MANUFACTURING,FINISHED,,,,Y,Y
